_time,sender,subject,attachments,recipients,recipients_email_domain,time_month,leaver,termination,account_type,wordlist_attachment,wordlist_subject,bunit,department,status,user_response,final_outcome,policy_name,justifications
2025-01-01T08:15:23,john.doe@company.com,Project Update,project_plan.pdf,jane.smith@company.com,company.com,January,NO,-,Employee,plan,update,IT,Development,Delivered,Clicked,Benign,Internal Communication,Non-sensitive content
2025-01-01T08:15:23,john.doe@company.com,Project Update,project_plan.pdf,mike.jones@rdcomputers.com,rdcomputers.com,January,NO,-,Employee,plan,update,IT,Development,Delivered,None,Benign,Internal Communication,Non-sensitive content
2025-01-01T09:22:45,alice.brown@company.com,Meeting Agenda,agenda.docx,sarah.taylor@company.com,company.com,January,NO,-,Employee,agenda,meeting,HR,Recruitment,Delivered,None,Benign,Internal Communication,Standard procedure
2025-01-01T10:30:12,bob.wilson@company.com,Invoice Request,invoice.pdf,client@external.com,external.com,January,NO,-,Contractor,invoice,request,Finance,Accounting,Sent,None,Benign,Financial Policy,Legitimate request
2025-01-01T11:45:56,emily.davis@company.com,Security Alert,none,team@company.com,company.com,January,NO,-,Employee,none,alert,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Suspicious content detected
2025-01-01T12:10:34,mark.johnson@company.com,Weekly Report,report.xlsx,jane.smith@company.com,company.com,January,YES,1/15/2025,Employee,report,weekly,Marketing,Sales,Delivered,None,Benign,Internal Communication,Standard reporting
2025-01-01T12:10:34,mark.johnson@company.com,Weekly Report,report.xlsx,tom.brown@gmail.com,gmail.com,January,YES,1/15/2025,Employee,report,weekly,Marketing,Sales,Delivered,Clicked,Benign,Internal Communication,Standard reporting
2025-01-01T13:20:11,lisa.martin@company.com,Training Session,training.pptx,sarah.taylor@company.com,company.com,January,NO,-,Employee,training,session,HR,Training,Delivered,Clicked,Benign,Training Policy,Authorized material
2025-01-01T14:35:47,steve.jackson@company.com,Client Proposal,proposal.pdf,client@external.com,external.com,January,NO,-,Contractor,proposal,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client-approved content
2025-01-01T15:50:22,anna.white@company.com,Performance Review,review_form.pdf,mike.jones@company.com,company.com,January,NO,-,Manager,review,performance,HR,Performance,Delivered,None,Benign,HR Policy,Standard review process
2025-01-01T15:50:22,anna.white@company.com,Performance Review,review_form.pdf,jane.smith@company.com,company.com,January,NO,-,Manager,review,performance,HR,Performance,Delivered,None,Benign,HR Policy,Standard review process
2025-01-01T16:05:33,kevin.lee@company.com,Urgent: Password Reset,none,all@company.com,company.com,January,NO,-,Employee,none,urgent,IT,Support,Delivered,Clicked,Malicious,Security Policy,Phishing attempt
2025-01-01T17:12:19,sophia.green@company.com,Team Outing,outing_details.pdf,tom.brown@company.com,company.com,January,NO,-,Employee,details,outing,HR,Engagement,Delivered,None,Benign,Internal Communication,Team event
2025-01-01T17:12:19,sophia.green@company.com,Team Outing,outing_details.pdf,jane.smith@company.com,company.com,January,NO,-,Employee,details,outing,HR,Engagement,Delivered,Clicked,Benign,Internal Communication,Team event
2025-01-02T08:00:00,john.doe@company.com,Project Kickoff,project_kickoff.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,kickoff,project,IT,Development,Delivered,Clicked,Benign,Internal Communication,Project initiation
2025-01-02T08:00:00,john.doe@company.com,Project Kickoff,project_kickoff.pptx,sarah.taylor@company.com,company.com,January,NO,-,Employee,kickoff,project,IT,Development,Delivered,None,Benign,Internal Communication,Project initiation
2025-01-02T09:15:27,alice.brown@company.com,Expense Report,expense.xlsx,finance@company.com,company.com,January,NO,-,Employee,expense,report,Finance,Accounting,Delivered,None,Benign,Financial Policy,Expense submission
2025-01-02T10:20:41,bob.wilson@company.com,Client Feedback,feedback.pdf,client@external.com,external.com,January,NO,-,Contractor,feedback,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-02T11:30:55,emily.davis@company.com,Policy Update,policy.pdf,all@company.com,company.com,January,NO,-,Employee,policy,update,HR,Compliance,Delivered,None,Benign,HR Policy,Policy distribution
2025-01-02T12:45:12,mark.johnson@company.com,Phishing Alert,none,team@company.com,company.com,January,NO,-,Employee,none,alert,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Suspicious email
2025-01-02T13:50:29,lisa.martin@company.com,Training Feedback,feedback_form.docx,jane.smith@company.com,company.com,January,NO,-,Employee,feedback,training,HR,Training,Delivered,None,Benign,Training Policy,Post-training survey
2025-01-02T13:50:29,lisa.martin@company.com,Training Feedback,feedback_form.docx,tom.brown@company.com,company.com,January,NO,-,Employee,feedback,training,HR,Training,Delivered,Clicked,Benign,Training Policy,Post-training survey
2025-01-02T14:55:33,steve.jackson@company.com,Contract Renewal,contract.pdf,client@external.com,external.com,January,YES,1/31/2025,Contractor,contract,renewal,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Contract terms
2025-01-02T15:00:47,anna.white@company.com,Team Meeting,agenda.pdf,mike.jones@company.com,company.com,January,NO,-,Manager,agenda,meeting,IT,Development,Delivered,None,Benign,Internal Communication,Team sync
2025-01-02T15:00:47,anna.white@company.com,Team Meeting,agenda.pdf,sarah.taylor@company.com,company.com,January,NO,-,Manager,agenda,meeting,IT,Development,Delivered,Clicked,Benign,Internal Communication,Team sync
2025-01-02T16:10:22,kevin.lee@company.com,Security Training,training.mp4,all@company.com,company.com,January,NO,-,Employee,training,security,Security,IT Security,Delivered,Clicked,Benign,Security Policy,Mandatory training
2025-01-02T17:25:19,sophia.green@company.com,Quarterly Review,review.pptx,jane.smith@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,None,Benign,HR Policy,Performance review
2025-01-02T17:25:19,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:00,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:11,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:27,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:33,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
